http://www.w3.org/ns/prov#wasDerivedFrom	http://purl.org/dc/elements/1.1/format	Reference	Number (Appenidx I)	Family	Species	Loads	Nest	Obs.	M	Acanthaceae	Adoxaceae	Aizoaceae	Amaryllidaceae	Altingiaceae	Anacardiaceae	Apiaceae	Apocynaceae	Aquifoliaceae	Araliaceae	Arecaceae	Asparagaceae	Asphodelaceae	Asteraceae	Balsaminaceae	Berberidaceae	Betulaceae	Bignoniaceae	Bixaceae	Boraginaceae	Brassicaceae	Cactaceae	Calceolariaceae	Campanulaceae	Capparaceae	Caprifoliaceae	Caryophyllaceae	Chenopodiaceae	Cistaceae	Clusiaceae	Colchicaceae	Commelinaceae	Convolvulaceae	Cordiaceae	Cornaceae	Costaceae	Crassulaceae	Cucurbitaceae	Cunoniaceae	Ebenaceae	Elaeagnaceae	Ericaceae	Escalloniaceae	Euphorbiaceae	Fabaceae	Fagaceae	Frankeniaceae	Gentianaceae	Geraniaceae	Grossulariaceae	Heliconiaceae	Hippocastanaceae	Hydrangaceae	Hypericaceae	Iridaceae	Juglandaceae	Juncaceae	Krameriaceae	Lamiaceae	Limnocharitaceae	Lauraceae	Liliaceae s.l.	Linaceae	Loasaceae	Lythraceae	Malpighiaceae	Malvaceae	Melanthiaceae	Melastomataceae	Meliaceae	Mimosaceae	Molluginaceae	Monocots	Muntingiaceae	Montiaceae	Myrtaceae	Nitrariaceae	Nyctaginaceae	Oleaceae	Onagraceae	Orobanchaceae	Oxalidaceae	Papaveraceae	Parnassiaceae	Passifloraceae	Phytolaccaceae	Pinaceae	Plantaginaceae	Plumbaginaceae	Poaceae	Polemoniaceae	Polygonaceae	Pontederiaceae	Primulaceae	Protaceae	Pteridaceae	Ranunculaceae	Resedaceae	Rhamnaceae	Rosaceae	Rubiaceae	Rutaceae	Salicaceae	Santalaceae	Sapindaceae	Saxifragaceae	Scrophulariaceae	Solanaceae	Sterculiaceae	Tamaricaceae	Theaceae	Turneraceae	Ulmaceae	Urticaceae	Verbenaceae	Violaceae	Vitaceae	Xanthorrhoaceae	Zygophyllaceae	Unknown
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L2	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Siriani-Oliveira et al (2018)	80	Colletidae	Actenosigynes mantiqueirensis	null	null	Obs.	10																																																																100.0																																																								
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L3	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (1996a)	38	Megachilidae	Afranthidium alternans	20	null	null	20														100.0																																																																																																										
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L4	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (1996a)	38	Megachilidae	Afranthidium carduele	35	null	null	35														100.0																																																																																																										
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L5	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (1996a)	38	Megachilidae	Afranthidium pusillum	13	null	null	13														100.0																																																																																																										
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L6	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (1996a)	38	Megachilidae	Afranthidium schulthessi	23	null	null	23														100.0																																																																																																										
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L7	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Novel data	n/a	Halictidae	Agapostemon sericeus	17	null	null	17						59.7								0.3												6.6							6.5																1.6			12.9																																								6.2											6.3																	
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L8	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Novel data	n/a	Halictidae	Agapostemon virescens	12	null	null	12						22.2								56.9							7.2												0.6												13.1																																																																											
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L9	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Novel data	n/a	Apidae	Amegilla albigena	13	null	null	13														4.1															8.1																34.5														44.4																													8.9																																
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L10	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Novel data	n/a	Apidae	Amegilla magnilabris	12	null	null	12														10.6						82.9						1.9																			0.9														3.7																																																													
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L11	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Dos Santos and Wittmann (2000)	5	Apidae	Ancyloscelis gigas	10	null	null	10																																																																																													100.0																											
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L12	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (2018a)	43	Andrenidae	Andrena (Andrena) fucata	74	null	null	74							13.7		1.3					1.4							2.9			1.4		2.9	0.2		12.8						0.4							0.3		0.1													0.7		0.0																													2.8				1.4					1.1		2.5	51.2				0.1	2.6															0.2
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L13	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (2018a)	43	Andrenidae	Andrena (Andrena) lapponica	50	null	null	50														2.8													0.8		1.5													83.4						0.1											0.1			0.6																				1.2						0.4						1.3			1.4			3.6			1.1		0.1	0.2														1.4
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L14	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (2018a)	43	Andrenidae	Andrena (Andrena) rogenhoferi	50	null	null	50							3.4							0.3		1.0					0.2			1.2		0.2			13.7								0.5					12.8						18.0																			3.9																														1.1		0.1	7.5			9.5		7.1	17.2														2.3
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L15	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (2018a)	43	Andrenidae	Andrena (Cnemidandrena) freygessneri	50	null	null	50														1.7							0.9						0.6		5.5								78.2					1.2						1.1											2.4																																									2.4						5.7														0.3
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L16	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Praz, C., Müller, A. & Genoud, D. (2019)	65	Andrenidae	Andrena (Euandrena) allosa	24	null	null	24														11.0							6.2								4.9																0.1										62.4							1.7																																			6.8			5.9																				1.0
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L17	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Praz, C., Müller, A. & Genoud, D. (2019)	65	Andrenidae	Andrena (Euandrena) amieti (all generations)	50	null	null	50														15.8							5.4			45.5			3.2		0.8		1.0											0.3							5.3						1.1																										1.1							0.1									2.8			9.3			6.9		0.9															0.3
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L18	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Praz, C., Müller, A. & Genoud, D. (2019)	65	Andrenidae	Andrena (Euandrena) montana	16	null	null	16														5.8										27.1			22.0		24.3	1.1							1.5												2.1										1.0																						7.8							2.7									4.0			0.6																				
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L19	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (1995)	37	Andrenidae	Andrena (Hamandrena) nasuta	26	null	null	26																				100.0																																																																																																				
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L20	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (2018a)	43	Andrenidae	Andrena (Oreomelissa) coitana	50	null	null	50							6.0							24.6										24.2					6.0								2.6											0.8											5.3																						3.5							2.4									0.3			18.3							5.7													0.3
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L21	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood (2023)	95	Andrenidae	Andrena aeneiventris	15	null	null	15							100.0																																																																																																																	
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L22	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood (2023)	95	Andrenidae	Andrena aerinifrons	25			25																					100.0																																																																																																			
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L23	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Westrich, Gusenleitner, and Amiet (1997) + Novel data	90	Andrenidae	Andrena afrensis	16			16														0.1							69.2								3.6									1.3								4.5																																											0.3								0.6	6.3		14.1																				
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L24	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Praz et al. (2022)	64	Andrenidae	Andrena afzeliella	30			30														0.1						1.7	0.2					0.2									0.6										89.8																																											3.4									0.3			3.7																				
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L25	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Novel data	n/a	Andrenidae	Andrena agilissima	20			20							2.8														94.9																																																																															2.3																				
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L26	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood (2023)	95	Andrenidae	Andrena albopunctata	15	null	null	15							25.3							47.4						0.2	6.4					11.2							1.9												3.9																																						3.1																	0.6																				
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L27	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Novel data	n/a	Andrenidae	Andrena alfkenella	31			31							86.6							6.0							4.2						0.2																						0.1																																							0.2												2.4			0.3																	
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L28	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood & Roberts (2018) + LaBerge (1967)	94; 105	Andrenidae	Andrena aliciae	5	null	Obs.	10														100.0																																																																																																										
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L29	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood & Roberts (2018)	94	Andrenidae	Andrena alleghaniensis	13	null	null	13		12.0				8.2	5.3		2.1					2.8							10.6						0.5																																																																						0.3		3.1	45.0			10.3																	
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L30	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood (2023)	95	Andrenidae	Andrena ampla	21			21							100.0																																																																																																																	
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L31	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood & Roberts (2018)	94	Andrenidae	Andrena andrenoides	12	null	null	12																																																																																																							100.0																	
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L32	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood & Roberts (2017) + Novel data	93; n/a	Andrenidae	Andrena angustior	26			26				3.4					5.5			16.6		0.5							1.9			3.2			17.0		1.4								1.8					3.4							0.2																																							6.3									24.9			13.9																				
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L33	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Novel data	n/a	Andrenidae	Andrena anthrisci	22			22							86.3														1.9						0.1		0.3						0.1		4.0								0.5														0.2																																						0.8			5.2																				0.6
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L34	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood (2023)	95	Andrenidae	Andrena antigana	25	null	null	25														0.1							99.8																																																																			0.1																																
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L35	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood & Roberts (2017) + Novel data	93; n/a	Andrenidae	Andrena apicata	19	null	null	19																																																																																																				0.9			99.1																	
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L36	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood & Roberts (2018) + Gibbs et al. (2017)	94; 102	Andrenidae	Andrena arabis	9	null	Obs.	10																					100.0																																																																																																			
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L37	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood & Roberts (2017) + Novel data	93; n/a	Andrenidae	Andrena argentata	16	null	null	16							5.3							1.0																												25.9				45.6			1.4																		12.4																																								1.3													6.9
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L38	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood (2023)	95	Andrenidae	Andrena asperrima	56			56														1.3							77.6																																																																													18.6		2.5																				
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L39	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood (2023)	95	Andrenidae	Andrena assimilis	15			15				6.6			21.0							34.8												1.7			1.9																0.3									0.4																																			7.9											21.1			2.7		1.6															
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L40	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Larkin et al. (2008)	20	Andrenidae	Andrena asteris	20	null	null	20														99.8																																																																																																										0.2
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L41	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Larkin et al. (2008)	20	Andrenidae	Andrena asteroides	20	null	null	20														99.9																																																																																																										0.1
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L42	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Tepedino (2003)	82	Andrenidae	Andrena astragali	70	null	null	70																																																																				100.0																																																				
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L43	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Larkin et al. (2008)	20	Andrenidae	Andrena balsamorhizae	20	null	null	20														98.6																																																																																																										1.4
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L44	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood & Roberts (2017)	93	Andrenidae	Andrena barbilabris	114	null	null	114							8.0		0.0					0.6							11.1						0.1								14.0											0.0																																									0.0	0.6									0.5		0.1	41.7			6.4		15.2															1.6
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L45	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Larkin et al. (2008)	20	Andrenidae	Andrena beameri	12	null	null	12														98.8																																																																																																										1.2
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L46	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood & Roberts (2017) + Novel data	93; n/a	Andrenidae	Andrena bicolor	78			78		0.9		1.7			3.5					1.4		15.1							8.2			10.4		0.1	0.3						0.0		1.4			10.0							0.1	0.4			2.4																		2.7																					2.7			0.1	0.2		9.7			8.9			13.9			2.2		1.5			1.0												1.2
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L47	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood & Roberts (2017) + Novel data	93; n/a	Andrenidae	Andrena bimaculata	40			40				0.1			4.9							0.2							22.2								2.7								1.4					1.1			3.5	19.5																																														0.0								38.9			5.5																	
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L48	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Larkin et al. (2008)	20	Andrenidae	Andrena biscutella	10	null	null	10														99.9																																																																																																										0.1
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L49	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Novel data	n/a	Andrenidae	Andrena biskrensis	15	null	null	15		2.6												0.3							74.3																																																											3.2																		19.6																						
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L50	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood et al. (2021b) + Wood (2023)	99; 95	Andrenidae	Andrena blanda	27			27																																																																																																		100.0																						
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L51	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Novel data	n/a	Andrenidae	Andrena boyerella	24			24														100.0																																																																																																										
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L52	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Moisan-Deserres et al. (2014) + Wood & Roberts (2018)	28; 94	Andrenidae	Andrena bradleyi	49	null	null	49																																										100.0																																																																														
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L53	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood & Roberts (2018)	94	Andrenidae	Andrena brevipalpis	25	null	null	25						95.6																																							4.4																																																																											
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L54	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Larkin et al. (2008)	20	Andrenidae	Andrena bullata	13	null	null	13														100.0																																																																																																										0.0
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L55	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Novel data	n/a	Andrenidae	Andrena caesia	18	null	null	18																					0.6																								99.4																																																																											
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L56	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood & Roberts (2018) + Gibbs et al. (2017)	94; 102	Andrenidae	Andrena canadensis	6	null	Obs.	10														100.0																																																																																																										
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L57	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood & Roberts (2018)	94	Andrenidae	Andrena carlini	18	null	null	18		0.9										0.2		0.5			1.9				7.3					2.3																17.0			7.1	7.1															0.4														0.1				2.4																				2.6	30.8			12.6		6.6											0.2				
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L58	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Moisan-Deserres et al. (2014)	28	Andrenidae	Andrena carolina (combined with novel data)	15	null	null	15																																										100.0																																																																														
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L59	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood & Roberts (2018)	94	Andrenidae	Andrena ceanothi	16	null	null	16						8.8			1.8												7.0														5.5																																																																18.5	50.9			7.6																	
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L60	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Neff and Larkin (2002)	51	Andrenidae	Andrena chaparralensis	14	null	null	14														100.0																																																																																																										
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L61	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Westrich (1989)	86	Andrenidae	Andrena chrysopus	null	null	null	10												100.0																																																																																																												
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L62	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Novel data	n/a	Andrenidae	Andrena chrysosceles	48	null	null	48		1.4					44.9		0.0					1.2							20.2						0.1		0.7						0.1																																1.7																					2.3										0.1	1.0	25.9					0.3															
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L63	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood & Roberts (2017) + Novel data	93; n/a	Andrenidae	Andrena cineraria	25			25		1.1		1.4			8.2							1.5							34.6					3.1												0.1				5.7		0.3	0.3																																																				3.4	0.2	0.7	20.2			6.0		13.0															0.2
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L64	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood (2023)	95	Andrenidae	Andrena cinerea	22			22														100.0																																																																																																										
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L65	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood & Roberts (2017)	93	Andrenidae	Andrena clarkella	26	null	null	26																																																																																																							100.0																	
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L66	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood & Roberts (2018)	94	Andrenidae	Andrena commoda	12	null	null	12		3.0				32.6								0.5							0.3					0.3																			1.7																																																				4.9		7.4	49.4																				
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L67	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood et al. (2021b) + Wood (2023)	99; 95	Andrenidae	Andrena corax	10			10														0.3																																																																																				99.7																						
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L68	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood & Roberts (2018)	94	Andrenidae	Andrena crataegi	28	null	null	28		1.0				19.0	1.4							0.0							0.3														0.4										8.8																																																				0.2		22.5	38.8			6.0																	1.6
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L69	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Larkin et al. (2008)	20	Andrenidae	Andrena crawfordi	20	null	null	20														99.8																																																																																																										0.2
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L70	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood & Roberts (2018)	94	Andrenidae	Andrena cressonii	20	null	null	20		3.3				15.6								0.9			0.9									0.1									0.3																																																																1.0	40.4		1.4	30.5		5.7															
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L71	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Westrich (1989)	86	Andrenidae	Andrena curvungula	null	null	null	10																								100.0																																																																																																
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L72	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Novel data	n/a	Andrenidae	Andrena decipiens	11			11							59.9																																						16.0																																																							24.1																				
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L73	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood & Roberts (2017)	93	Andrenidae	Andrena denticulata	23	null	null	23							0.5							98.9																																																																																						0.7																				
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L74	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Novel data	n/a	Andrenidae	Andrena discors	16	null	null	16														26.8						4.6	48.0												1.7																2.5					1.2																													5.7															9.5																						
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L75	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood & Roberts (2018) + Gibbs et al. (2017)	94; 102	Andrenidae	Andrena distans	5	null	Obs.	10																																																	100.0																																																																							
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L76	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Westrich (1989)	86	Andrenidae	Andrena distinguenda	null	null	null	10																					100.0																																																																																																			
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L77	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood (2023)	95	Andrenidae	Andrena djelfensis	20			20																													99.9																0.1																																																																											
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L78	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood & Roberts (2017)	93	Andrenidae	Andrena dorsata	78			78		0.2					11.6							3.6							11.8												0.2					0.6				1.8			6.9	6.7								0.7					0.1								0.6																									0.8					0.9			47.5			3.5		1.1			0.8												0.6
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L79	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Novel data	n/a	Andrenidae	Andrena doursana	10	null	null	10																					100.0																																																																																																			
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L80	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood (2023)	95	Andrenidae	Andrena elata	13	null	null	13														100.0																																																																																																										
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L81	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood & Roberts (2018) + Gibbs et al. (2017)	94; 102	Andrenidae	Andrena erigeniae	7	null	Obs.	10														0.5																																																													99.5																																													
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L82	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood & Roberts (2018)	94	Andrenidae	Andrena erythrogaster	14	null	null	14																																																																																																				3.8			96.2																	
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L83	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood (2023)	95	Andrenidae	Andrena fabrella	22			22														0.2															99.8																																																																																											
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L84	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood (2023)	95	Andrenidae	Andrena ferrugineicrus	27			27																					100.0																																																																																																			
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L85	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Manderey et al. (2008)	21	Andrenidae	Andrena flavilabris	14	null	null	14																					36.3														7.1										22.0																																																							21.0					13.6															
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L86	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood & Roberts (2017)	93	Andrenidae	Andrena flavipes	599			599		0.0		0.2			1.9							23.9						0.4	15.2			0.0		0.2	0.3		1.3				0.0		0.0		0.8	0.1						0.0	19.4	0.2		0.0	0.0			0.4		0.3					0.2																				0.0	0.0			2.5					1.3									4.2	0.0	0.0	19.1			3.4		4.3		0.1													0.2
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L87	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Westrich (1989) + Novel data	86; n/a	Andrenidae	Andrena florea	9	null	Obs.	10																																						100.0																																																																																		
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L88	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Westrich (1989)	86	Andrenidae	Andrena floricola	null	null	null	10																					100.0																																																																																																			
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L89	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood & Roberts (2018)	94	Andrenidae	Andrena forbesii	23	null	null	23		6.5																			8.9					1.2																				2.7																													1.8				2.7																				1.3	60.6		3.5	9.0		1.8															
