http://www.w3.org/ns/prov#wasDerivedFrom	http://purl.org/dc/elements/1.1/format	Reference	Number (Appenidx I)	Family	Species	Loads	Nest	Obs.	M	Acanthaceae	Adoxaceae	Aizoaceae	Amaryllidaceae	Altingiaceae	Anacardiaceae	Apiaceae	Apocynaceae	Aquifoliaceae	Araliaceae	Arecaceae	Asparagaceae	Asphodelaceae	Asteraceae	Balsaminaceae	Berberidaceae	Betulaceae	Bignoniaceae	Bixaceae	Boraginaceae	Brassicaceae	Cactaceae	Calceolariaceae	Campanulaceae	Capparaceae	Caprifoliaceae	Caryophyllaceae	Chenopodiaceae	Cistaceae	Clusiaceae	Colchicaceae	Commelinaceae	Convolvulaceae	Cordiaceae	Cornaceae	Costaceae	Crassulaceae	Cucurbitaceae	Cunoniaceae	Ebenaceae	Elaeagnaceae	Ericaceae	Escalloniaceae	Euphorbiaceae	Fabaceae	Fagaceae	Frankeniaceae	Gentianaceae	Geraniaceae	Grossulariaceae	Heliconiaceae	Hippocastanaceae	Hydrangaceae	Hypericaceae	Iridaceae	Juglandaceae	Juncaceae	Krameriaceae	Lamiaceae	Limnocharitaceae	Lauraceae	Liliaceae s.l.	Linaceae	Loasaceae	Lythraceae	Malpighiaceae	Malvaceae	Melanthiaceae	Melastomataceae	Meliaceae	Mimosaceae	Molluginaceae	Monocots	Muntingiaceae	Montiaceae	Myrtaceae	Nitrariaceae	Nyctaginaceae	Oleaceae	Onagraceae	Orobanchaceae	Oxalidaceae	Papaveraceae	Parnassiaceae	Passifloraceae	Phytolaccaceae	Pinaceae	Plantaginaceae	Plumbaginaceae	Poaceae	Polemoniaceae	Polygonaceae	Pontederiaceae	Primulaceae	Protaceae	Pteridaceae	Ranunculaceae	Resedaceae	Rhamnaceae	Rosaceae	Rubiaceae	Rutaceae	Salicaceae	Santalaceae	Sapindaceae	Saxifragaceae	Scrophulariaceae	Solanaceae	Sterculiaceae	Tamaricaceae	Theaceae	Turneraceae	Ulmaceae	Urticaceae	Verbenaceae	Violaceae	Vitaceae	Xanthorrhoaceae	Zygophyllaceae	Unknown
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L468	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Novel data	n/a	Apidae	Eucera notata	34			34														96.3										0.1																																																											3.6																																					
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L469	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Dorchin et al. (2021)	4	Apidae	Eucera pici	18	null	null	18																				0.6																									96.4				2.5																																																																							0.5
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L470	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Dorchin et al. (2021)	4	Apidae	Eucera proxima	20	null	null	20																				5.8																									94.2																																																																											
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L471	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Novel data	n/a	Apidae	Eucera taurica	18	null	null	18														100.0																																																																																																										
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L472	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Miranda et al. (2021)	27	Apidae	Euglossa cordata	175			175	3.3													0.0				7.9														23.2	0.1			0.1		0.0							3.4						0.0																		0.1	0.6						17.0			2.1											0.0											0.0							41.0				0.0			1.2					
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L473	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Miranda et al. (2021)	27	Apidae	Eulaema nigrita	45			45	0.1																	4.6														3.2	0.0												2.5																								1.7							35.9																																52.0												
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L474	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Houston et al (1993)	14	Colletidae	Euryglossa aureophila	15	null	null	15																																																																												100.0																																												
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L475	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Houston et al (1993)	14	Colletidae	Euryglossa morrisoni	15	null	null	15																																																																												100.0																																												
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L476	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Novel data + Wood and Cross (2017)	n/a; 91	Andrenidae	Flavipanurgus fuzetus	3	null	Obs.	10																											100.0																																																																																													
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L477	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Novel data	n/a	Andrenidae	Flavipanurgus kastiliensis	13	null	null	13																																					100.0																																																																																			
